禹城市,2020,2476000,458500,719000,992
茌平区,2020,3036600,284400,1653200,1003
阳谷县,2020,2827300,594700,931200,1008
莘县,2020,2240400,700900,361100,1388
东阿县,2020,1471800,200500,694200,727
冠县,2020,2145100,536600,542300,1161
高唐县,2020,1512400,252100,530500,947
临清市,2020,2382200,312200,799700,951
沾化区,2020,1626220,409906,504421,2218
惠民县,2020,1973504,467266,575739,1362
阳信县,2020,2233886,311173,840654,798
无棣县,2020,3349236,451459,1548456,2090
博兴县,2020,3734225,249980,1525435,900
邹平市,2020,5588072,305120,2762394,1250
定陶区,2020,2132585,291306,758736,846
曹县,2020,4638209,483779,1860908,1974
单县,2020,3447550,487010,1154420,1647
成武县,2020,1553827,304663,358743,998
巨野县,2020,3493481,375905,1386837,1308
郓城县,2020,4365243,470432,2070044,1633
鄄城县,2020,2451917,323285,768505,1032
惠水县,2020,1391534,288268,507128,2472
三都水族自治县,2020,872046,238819,224207,2376
呈贡区,2020,5085885,59728,2023161,510
晋宁区,2020,1947709,317252,398807,1337
富民县,2020,1057278,160984,405501,994
呼兰区,2020,1024111,377184,150389,2036
阿城区,2020,2327301,222441,408466,2452
双城区,2020,2397535,1183265,344839,3112
依兰县,2020,1115564,290030,118261,4616
方正县,2020,661187,274668,90599,2976
宾县,2020,1733319,432677,178980,3843
巴彦县,2020,1227306,458777,75141,3139
木兰县,2020,826862,263946,61571,3600
通河县,2020,892324,343597,55949,5676
延寿县,2020,671468,186291,82555,3150
尚志市,2020,1784967,652073,222400,8891
五常市,2020,2832934,1113343,329645,7502
龙江县,2020,1259044,577811,341489,5887
依安县,2020,741794,377906,78365,3678
泰来县,2020,646868,294994,119731,3917
甘南县,2020,911785,448428,199802,4791
富裕县,2020,750472,360675,153340,4060
克山县,2020,684931,345522,68484,3320
克东县,2020,590089,181132,209631,2083
拜泉县,2020,634979,321922,57362,3599
讷河市,2020,1124678,553663,138664,6660
鸡东县,2020,868704,333159,148063,3243
虎林市,2020,1599744,1053400,151026,9334
密山市,2020,1409460,679810,126767,7731
萝北县,2020,1019258,495457,136125,6768
绥滨县,2020,599707,389300,12364,3344
集贤县,2020,725969,319259,74772,2258
友谊县,2020,426499,193372,33698,1647
宝清县,2020,1286825,847243,99906,10001
饶河县,2020,687181,482260,25268,6598
肇州县,2020,1373981,556657,217541,2446
肇源县,2020,1133277,537253,172205,4120
林甸县,2020,711638,321237,112336,3504
杜尔伯特蒙古族自治县,2020,1056165,456674,155353,6054
嘉荫县,2020,249426,140588,10918,6739
汤旺县,2020,151872,103528,9303,2148
丰林县,2020,223891,124571,24451,2971
大箐山县,2020,142783,71026,19475,3706
南岔县,2020,175803,42259,36677,3088
铁力市,2020,774006,416546,126347,3776
桦南县,2020,1226610,702194,209452,4417
桦川县,2020,691347,458994,60431,2268
汤原县,2020,696865,389778,92638,3420
同江市,2020,1109412,705401,56007,6229
富锦市,2020,1552287,753303,174513,8224
抚远市,2020,819470,609865,12830,6047
勃利县,2020,489678,174085,100920,2390
林口县,2020,705796,301188,65233,6638
绥芬河市,2020,501811,13292,74894,422
海林市,2020,1142408,307360,248141,8712
宁安市,2020,1165947,616081,72230,7227
穆棱市,2020,1311864,304464,503438,6040
东宁市,2020,723529,258885,167616,7117
逊克县,2020,397079,206357,80967,17344
孙吴县,2020,223349,93856,12957,4319
北安市,2020,1256078,376605,156095,7194
五大连池市,2020,1137948,675548,76386,8745
嫩江市,2020,2404602,1251543,324932,15109
望奎县,2020,775507,415064,65813,2316
兰西县,2020,743345,417467,48403,2484
青冈县,2020,806051,467374,107248,2685
庆安县,2020,874383,516072,103482,5467
