河南省,202112,1,113.665412,34.757975,410000,100000,165573.65518263172,1743690.0444195718,10.531204632139334
广东省,202112,1,113.280637,23.125178,440000,100000,181804.46583134425,3087373.1747471923,16.981833535438433
内蒙古自治区,202112,1,111.670801,40.818311,150000,100000,1141409.7487310164,3474690.377195146,3.0442094796002905
黑龙江省,202112,1,126.642464,45.756967,230000,100000,453497.3514096424,2233514.482916396,4.925088263412747
新疆维吾尔自治区,202112,1,87.617733,43.792818,650000,100000,1626751.6739225052,5553926.817584747,3.4141208560694705
湖北省,202112,1,114.298572,30.584355,420000,100000,185988.50588825677,1216914.8195242286,6.54295712368032
辽宁省,202112,1,123.429096,41.796767,210000,100000,147727.9978343657,1334359.2789296843,9.03254155265668
山东省,202112,1,117.000923,36.675807,370000,100000,157443.95464230634,2610657.339455809,16.58150257586522
江苏省,202112,1,118.767413,32.041544,320000,100000,103538.70847422616,2772925.3353428543,26.781532976462778
陕西省,202112,1,108.948024,34.263161,610000,100000,205494.9723955588,1310613.8350904882,6.377838931103764
上海市,202112,1,121.472644,31.231706,310000,100000,7983.201750202243,744635.1300176978,93.2752488685174
贵州省,202112,1,106.713478,26.578343,520000,100000,176242.74002231687,770191.984258892,4.37006360750727
重庆市,202112,1,106.504962,29.533155,500000,100000,82445.10662710495,535640.9248455912,6.496940167331799
西藏自治区,202112,1,91.132212,29.660361,540000,100000,1202271.599316899,2841452.0617423207,2.3634027979674173
安徽省,202112,1,117.283042,31.86119,340000,100000,140156.11032626638,1409379.1894163638,10.055781272293448
福建省,202112,1,119.306239,26.075302,350000,100000,124864.90918179449,1313374.375204254,10.518362475177664
湖南省,202112,1,112.982279,28.19409,430000,100000,212060.7146009881,1010389.0899384096,4.764621735051446
海南省,202112,1,110.33119,20.031971,460000,100000,43498.41221086582,419047.7848805832,9.633634047357384
青海省,202112,1,101.778916,36.623178,630000,100000,696119.1488735216,1632250.4563770387,2.344786031268339
广西壮族自治区,202112,1,108.320004,22.82402,450000,100000,237800.39234198869,999831.2101734858,4.204497731591608
宁夏回族自治区,202112,1,106.278179,38.46637,640000,100000,51896.648582211645,353230.92485063523,6.806430366906398
江西省,202112,1,115.892151,28.676493,360000,100000,167016.84717972088,833427.9851293638,4.990083331129713
浙江省,202112,1,120.153576,30.287459,330000,100000,107191.54702942036,2249492.514934108,20.98572674127653
河北省,202112,1,114.502461,38.045474,130000,100000,188143.4840438309,1831803.3745699823,9.736204173529792
澳门特别行政区,202112,1,113.54909,22.198951,820000,100000,51.73009769194584,19348.08995938301,374.0199772016945
台湾省,202112,1,121.509062,25.044332,710000,100000,38363.67522292073,993021.0999136724,25.884410034844187
香港特别行政区,202112,1,114.173355,22.320048,810000,100000,1282.6519620285883,133802.88995622098,104.31737830471484
甘肃省,202112,1,103.823557,36.058039,620000,100000,425065.2941408959,1280410.4166390896,3.012267607561189
四川省,202112,1,104.065735,30.659462,510000,100000,486373.05388615775,1908842.6616861047,3.924647236178704
吉林省,202112,1,125.3245,43.886841,220000,100000,189390.37462831024,1168790.888792768,6.17133204940636
天津市,202112,1,117.190182,39.125596,120000,100000,12076.167129327088,626006.4199451208,51.83817127082137
云南省,202112,1,102.712251,25.040609,530000,100000,383637.08968739054,1203647.8507794077,3.137464763274606
北京市,202112,1,116.405285,39.904989,110000,100000,16374.926354038873,693178.2798930109,42.33168839394741
山西省,202112,1,112.549248,37.857014,140000,100000,156576.2045316915,1170999.714724645,7.478784648197492
黑龙江省,201808,1,126.642464,45.756967,230000,100000,453497.3514096424,52072.92503288202,0.1148252021120289
河南省洛阳市,202112,2,112.434468,34.663041,410300,410000,15175.17264750088,155056.07496149838,10.21774701107165
河南省三门峡市,202112,2,111.194099,34.777338,411200,410000,9937.998023875776,48718.420008949935,4.902236838033699
河南省漯河市,202112,2,114.026405,33.575855,411100,410000,2683.0933067278183,43585.19501367211,16.244382893573942
河南省许昌市,202112,2,113.826063,34.022956,411000,410000,4979.782433034271,65856.42498460412,13.224759489035872
河南省南阳市,202112,2,112.540918,32.999082,411300,410000,26523.844320826283,140155.22994258255,5.284122024217052
河南省信阳市,202112,2,114.075031,32.123274,411500,410000,18906.627210467457,96865.9598165974,5.123386563784818
河南省驻马店市,202112,2,114.024736,32.980169,411700,410000,15079.238543860807,129065.2949178368,8.559138748447149
河南省濮阳市,202112,2,115.041299,35.768234,410900,410000,4252.316118054102,71241.49499131739,16.75357452585584
河南省焦作市,202112,2,113.238266,35.23904,410800,410000,4071.417164328697,60408.32000236213,14.837172798607677
河南省鹤壁市,202112,2,114.295444,35.748236,410600,410000,2136.5025102354816,31951.419985845685,14.955011675752282
河南省新乡市,202112,2,113.883991,35.302616,410700,410000,8260.089345909702,109427.0850198865,13.247687819995976
河南省平顶山市,202112,2,113.307718,33.735241,410400,410000,7905.568225067751,79623.9749289751,10.071885114658247
河南省周口市,202112,2,114.649653,33.620357,411600,410000,11966.583733944646,121774.20493547618,10.176187928226256
河南省商丘市,202112,2,115.650497,34.437054,411400,410000,10698.474042577423,126184.90000098944,11.79466337898312
河南省开封市,202112,2,114.341447,34.797049,410200,410000,6237.014309761321,82936.21498565376,13.297422591423809
河南省郑州市,202112,2,113.665412,34.757975,410100,410000,7519.2771391991555,273239.0799898058,36.33847708117688
河南省安阳市,202112,2,114.352482,36.103442,410500,410000,7333.661266177132,89796.24993911386,12.244395627222984
广东省汕头市,202112,2,116.708463,23.37102,440500,440000,2343.1938357541067,119679.68498108536,51.07545229717157
