浙江省,2022B:36222.25;2022A:17886.39;2021D:73515.76;2021C:52649.55;2021B:34410.81;2021A:16273.31;2020D:64689.06;2020C:45709.2;2020B:29043.11;2020A:13118.62;2019D:62461.99;2019C:44936.23;2019B:29037.54;2019A:13746.21;2018D:58002.84;2018C:41323.38;2018B:26525.86;2018A:12500.9;2017D:51768.26;2017C:36958.03;2017B:23383.21;2017A:10551.93;2016D:46484.98;2016C:32234.33;2016B:20762.33;2016A:9356.2;2015D:42886.49;2015C:29684.23;2015B:19280.69;2015A:8342.38;2014D:40153.5;2014C:27822.19;2014B:17978.21;2014A:7768.46;2013D:37568.5;2013C:26195.03;2013B:16953.92;2013A:7261.54;2012D:34606.3;2012C:24214.83;2012B:15790.41;2012A:6724.64;2011D:32000.1;2011C:22627.41;2011B:14653.64;2011A:6311.24;2010D:27226.75;2010C:18765.14;2010B:11761.51;2010A:5363.31;2009D:22832.43;2009C:15828.08;2009B:10043.54;2009A:4632.13;2008D:21486.92;2008C:15301.92;2008B:9888.75;2008A:4601.97;2007D:18638.36;2007C:12984.08;2007B:8344.4;2007A:3899.01;2006D:15648.93;2006C:10996.9;2006B:7123.39;2006A:3319.38;2005D:13365;2005C:9016;2005B:6094;2005A:2746.09
安徽省,2022B:21763.96;2022A:10347.7;2021D:42959.18;2021C:31752.36;2021B:20489.81;2021A:9486.32;2020D:38061.51;2020C:27124.08;2020B:17224.19;2020A:7689.78;2019D:36845.49;2019C:26507.28;2019B:17128.85;2019A:8108.7;2018D:34010.91;2018C:24286.4;2018B:15622.59;2018A:7487.62;2017D:27518.67;2017C:19811.35;2017B:12645.41;2017A:5826.82;2016D:24117.87;2016C:17131.95;2016B:11028.49;2016A:4647.26;2015D:22005.6;2015C:15628.23;2015B:9976.57;2015A:4238.27;2014D:20848.75;2014C:14709.5;2014B:9350.54;2014A:3971.15;2013D:19038.9;2013C:13613.86;2013B:8591.28;2013A:3652.36;2012D:17212.05;2012C:12516.3;2012B:7781.94;2012A:3289.35;2011D:15110.31;2011C:11078.1;2011B:6883.31;2011A:2843.23;2010D:12263.36;2010C:8820.79;2010B:5537.15;2010A:2303.28;2009D:10052.86;2009C:7200.52;2009B:4512.9;2009A:1885.31;2008D:8874.17;2008C:6295.99;2008B:4180.74;2008A:1725.05;2007D:7345.69;2007C:5203.8;2007B:3404.58;2007A:1418.72;2006D:6141.91;2006C:4433.01;2006B:2886.12;2006A:1212.94;2005D:5375.84;2005C:3930.13;2005B:2568.14;2005A:1076.38
福建省,2022B:24605.36;2022A:11859.21;2021D:48810.36;2021C:35061.37;2021B:22817.29;2021A:10702.3;2020D:43608.55;2020C:31005.17;2020B:19714.83;2020A:8931.24;2019D:42326.58;2019C:30450.47;2019B:19676.92;2019A:9314.95;2018D:38687.77;2018C:27778.96;2018B:17923.14;2018A:8500.21;2017D:32298.28;2017C:20674.99;2017B:13289.77;2017A:6535.19;2016D:28519.15;2016C:18287.01;2016B:11815.51;2016A:5784.8;2015D:25979.82;2015C:16398.67;2015B:10468.34;2015A:4355.87;2014D:24055.76;2014C:15212.75;2014B:9733.61;2014A:4037.73;2013D:21759.6;2013C:13887.63;2013B:8855.26;2013A:3713.44;2012D:19701.78;2012C:12470.57;2012B:7982.63;2012A:3311.67;2011D:17410.21;2011C:11030.05;2011B:7042.53;2011A:2930.73;2010D:14357.12;2010C:9085.47;2010B:5727.6;2010A:2339.71;2009D:11949.53;2009C:7584.29;2009B:4747.44;2009A:1965.06;2008D:10823.11;2008C:7121.95;2008B:4528.32;2008A:1865.23;2007D:9160.14;2007C:5941.03;2007B:3752.03;2007A:1567.11;2006D:7501.63;2006C:4928.41;2006B:3150.24;2006A:1349.32;2005D:6560.07;2005C:4649.18;2005B:2926.81;2005A:1253.85
江西省,2022B:15133.06;2022A:7320.52;2021D:29619.67;2021C:21517.96;2021B:13918.32;2021A:6545.24;2020D:25781.95;2020C:18383.96;2020B:11701.02;2020A:5357.86;2019D:24667.29;2019C:17746.07;2019B:11467.41;2019A:5428.61;2018D:22716.51;2018C:16168.95;2018B:10507.58;2018A:4955.19;2017D:20818.5;2017C:14725.07;2017B:8961.19;2017A:4318.62;2016D:18364.41;2016C:12587.3;2016B:7827.37;2016A:3766.91;2015D:16723.78;2015C:11568.57;2015B:7203.46;2015A:3406.16;2014D:15708.59;2014C:10797.91;2014B:6464.95;2014A:2948.38;2013D:14338.5;2013C:9874.28;2013B:5901.63;2013A:2712.28;2012D:12948.48;2012C:9004.19;2012B:5403.63;2012A:2455.54;2011D:11583.8;2011C:8086.75;2011B:4932.26;2011A:2160.68;2010D:9435.01;2010C:6533.19;2010B:4001.19;2010A:1754.67;2009D:7589.22;2009C:4800.88;2009B:2907.81;2009A:1281.12;2008D:6480.33;2008C:4560.94;2008B:2779.45;2008A:1212.59;2007D:5469.25;2007C:3700.72;2007B:2244.26;2007A:993.33;2006D:4618.77;2006C:3049.78;2006B:1839.83;2006A:863.94;2005D:4056.16;2005C:2589.29;2005B:1560.74;2005A:743.13
山东省,2022B:41717.35;2022A:19926.79;2021D:83095.9;2021C:60206.96;2021B:38742.39;2021A:17974.39;2020D:72798.17;2020C:51756.94;2020B:32788.81;2020A:14839.7;2019D:70540.48;2019C:50748.03;2019B:32793.09;2019A:15524.07;2018D:66648.87;2018C:48910.25;2018B:31311;2018A:14653;2017D:72678.18;2017C:54866.8;2017B:35017.39;2017A:16653.29;2016D:67008.19;2016C:48703.82;2016B:31688.29;2016A:14914.77;2015D:63002.33;2015C:45712.59;2015B:29731.68;2015A:12931.54;2014D:59426.59;2014C:42814.23;2014B:28080.26;2014A:11994.96;2013D:54684.3;2013C:39601.68;2013B:25958.15;2013A:11076.48;2012D:50013.24;2012C:36235.21;2012B:24118.06;2012A:10089.06;2011D:45429.21;2011C:33030.95;2011B:21880.83;2011A:9049.63;2010D:39416.2;2010C:28261.86;2010B:18645.92;2010A:7672.18;2009D:33805.3;2009C:23959.71;2009B:15688.53;2009A:6469.32;2008D:31072.06;2008C:22506.94;2008B:14736.53;2008A:6185.6;2007D:25887.67;2007C:18562.79;2007B:12072.42;2007A:5122.08;2006D:21846.71;2006C:15804.73;2006B:10206.39;2006A:4330.37;2005D:18468.3;2005C:13378.8;2005B:8490.27;2005A:3608.17
河南省,2022B:30757.2;2022A:14228.79;2021D:58887.41;2021C:43847.12;2021B:28806.05;2021A:13246.86;2020D:54259.43;2020C:39195.72;2020B:25197.65;2020A:11346.48;2019D:53717.75;2019C:38645.47;2019B:24972.49;2019A:11821.84;2018D:49935.9;2018C:35518.62;2018B:23217.14;2018A:10916.3;2017D:44988.16;2017C:32896.69;2017B:20307.72;2017A:9392.22;2016D:40160.01;2016C:28840.57;2016B:17954.9;2016A:8284.26;2015D:37010.25;2015C:26927.01;2015B:16736.55;2015A:7720.21;2014D:34939.38;2014C:25445.43;2014B:15778.62;2014A:7456.88;2013D:32155.9;2013C:23516.02;2013B:14556.63;2013A:6993.68;2012D:29810.14;2012C:22171.49;2012B:13530.55;2012A:6428.7;2011D:27232.04;2011C:20370.43;2011B:12404.68;2011A:5615.44;2010D:22942.68;2010C:16937.95;2010B:10461.25;2010A:4752.01;2009D:19367.28;2009C:14561.5;2009B:8962.8;2009A:4067.44;2008D:18407.78;2008C:13902.26;2008B:8593.53;2008A:3658.01;2007D:15058.07;2007C:11094.78;2007B:6817.02;2007A:2872.92;2006D:12464.09;2006C:9012.16;2006B:5506.89;2006A:2378.92;2005D:10535.2;2005C:7950.46;2005B:4862.88;2005A:2101.03
湖北省,2022B:24502.79;2022A:10804.66;2021D:50012.94;2021C:34598.11;2021B:22681.7;2021A:9828.31;2020D:43004.49;2020C:28704.92;2020B:17257.77;2020A:6196.6;2019D:45428.96;2019C:32682.38;2019B:21119.17;2019A:9997.7;2018D:42021.95;2018C:29862.76;2018B:19242.75;2018A:9139.18;2017D:36522.95;2017C:25076.03;2017B:15871.39;2017A:7254.06;2016D:32297.91;2016C:22198.4;2016B:14114.76;2016A:6456.23;2015D:29550.19;2015C:20423.41;2015B:13104.78;2015A:5487.93;2014D:27367.04;2014C:18874.15;2014B:12061.99;2014A:5137.26;2013D:24668.5;2013C:17099.64;2013B:10949.3;2013A:4699.47;2012D:22250.16;2012C:15390;2012B:9885.4;2012A:4233.88;2011D:19594.19;2011C:13578.42;2011B:8571.47;2011A:3592.36;2010D:15806.09;2010C:11093.96;2010B:6896.65;2010A:2934.37;2009D:12831.52;2009C:8656.84;2009B:5378.05;2009A:2423.15;2008D:11330.38;2008C:7913.49;2008B:4971.92;2008A:2157.72;2007D:9150.01;2007C:6272.22;2007B:3953.61;2007A:1738.46;2006D:7497.17;2006C:5168.05;2006B:3288.34;2006A:1533.66;2005D:6484.5;2005C:5031.86;2005B:3195.59;2005A:1557.2
湖南省,2022B:22933.36;2022A:11058.16;2021D:46063.09;2021C:33094.92;2021B:21575.19;2021A:10178.06;2020D:41542.57;2020C:29500.3;2020B:18867.16;2020A:8767.18;2019D:39894.14;2019C:28700.53;2019B:18546.12;2019A:8779.63;2018D:36329.68;2018C:25880.08;2018B:16827.22;2018A:8113.26;2017D:34590.56;2017C:24492.29;2017B:15275.51;2017A:7051.11;2016D:31244.68;2016C:21771.08;2016B:13613.48;2016A:6318.99;2015D:29047.21;2015C:20250.5;2015B:12800.44;2015A:5392.25;2014D:27048.46;2014C:18531.24;2014B:11975.1;2014A:5042.72;2013D:24501.7;2013C:16913.58;2013B:10921.81;2013A:4658.82;2012D:22154.23;2012C:15339.15;2012B:9909.42;2012A:4218.98;2011D:19635.19;2011C:13625.29;2011B:8762.66;2011A:3646.6;2010D:15902.12;2010C:10583.27;2010B:6805.39;2010A:2956.22;2009D:12930.69;2009C:8382.07;2009B:5350.21;2009A:2409.34;2008D:11156.64;2008C:7694.8;2008B:4911.36;2008A:2170.85;2007D:9145;2007C:6191.82;2007B:3930.28;2007A:1814.43;2006D:7493.17;2006C:5150.34;2006B:3206.2;2006A:1526.93;2005D:6473.61;2005C:4496.8;2005B:2834.32;2005A:1349.57
广东省,2022B:59518.4;2022A:28498.79;2021D:124369.67;2021C:88171.7;2021B:57245.14;2021A:27146.12;2020D:111151.63;2020C:78381.34;2020B:49276.19;2020A:22579.61;2019D:107986.92;2019C:77687.65;2019B:50201.32;2019A:23765.03;2018D:99945.22;2018C:70881.55;2018B:46059.11;2018A:21675.92;2017D:89879.23;2017C:64815.38;2017B:41957.84;2017A:19438.05;2016D:79512.05;2016C:57061.17;2016B:37357.59;2016A:17272.24;2015D:72812.55;2015C:52522.38;2015B:34526.64;2015A:14948.57;2014D:67792.24;2014C:48130.36;2014B:30879.09;2014A:13636.91;2013D:62164;2013C:44471.53;2013B:28465.92;2013A:12612.88;2012D:57067.92;2012C:40685.76;2012B:26200.92;2012A:11510.8;2011D:52673.59;2011C:36953.15;2011B:23421.12;2011A:10549.74;2010D:45472.83;2010C:31542.28;2010B:19668.55;2010A:9128.82;2009D:39081.59;2009C:26418.08;2009B:16538.09;2009A:7687.73;2008D:35696.46;2008C:25299.68;2008B:16018.01;2008A:7194.35;2007D:30673.71;2007C:21489.58;2007B:13544.46;2007A:6125.85;2006D:25968.55;2006C:18153.6;2006B:11416.8;2006A:5206.41;2005D:21701.27;2005C:13981.6;2005B:8902.36;2005A:4089.47
广西壮族自治区,2022B:12294.16;2022A:5914.78;2021D:24740.86;2021C:17971.04;2021B:11757.53;2021A:5522.76;2020D:22120.87;2020C:15913.87;2020B:10162.38;2020A:4659.48;2019D:21237.14;2019C:15278.36;2019B:9872.79;2019A:4673.73;2018D:19627.81;2018C:14843.8;2018B:8900.6;2018A:4327.85;2017D:20396.25;2017C:12757.93;2017B:8179.81;2017A:3909.53;2016D:18245.07;2016C:11345.53;2016B:7311.64;2016A:3480.32;2015D:16803.12;2015C:10430.75;2015B:6769.45;2015A:3226.02;2014D:15672.97;2014C:9792.2;2014B:6327.87;2014A:3014.36;2013D:14378;2013C:9007.22;2013B:5810.18;2013A:2779.39;2012D:13031.04;2012C:8296.01;2012B:5329.54;2012A:2546.72;2011D:11714.35;2011C:7438.04;2011B:4720.1;2011A:2247.86;2010D:9502.39;2010C:6030.17;2010B:3833.21;2010A:1845.81;2009D:7700.36;2009C:5074.18;2009B:3225.75;2009A:1552.38;2008D:7171.58;2008C:4701.51;2008B:3018.37;2008A:1414;2007D:5885.88;2007C:3717.97;2007B:2386.26;2007A:1160.37;2006D:4801.98;2006C:3066.1;2006B:2012.48;2006A:965.3;2005D:4063.25;2005C:2480.82;2005B:1612.25;2005A:770.13
